cycle,measured_ah,temp_c
0,4.8524,26.27
5,4.8205,27.43
10,4.8254,30.21
15,4.8194,30.41
20,4.7897,30.58
25,4.7890,32.98
30,4.7949,29.59
35,4.7863,30.81
40,4.7838,30.58
45,4.7725,31.39
50,4.7819,29.71
55,4.7768,32.32
60,4.7670,30.45
65,4.7714,27.84
70,4.7622,27.64
75,4.7478,28.64
80,4.7539,28.36
85,4.7396,29.00
90,4.7507,29.27
95,4.7397,24.45
100,4.7352,21.36
105,4.7278,18.76
110,4.7397,21.61
115,4.7253,19.41
120,4.7199,19.61
125,4.7173,19.11
130,4.7211,19.81
135,4.7167,21.83
140,4.7139,20.86
145,4.7110,20.97
150,4.7216,20.40
155,4.6982,20.33
160,4.6944,23.10
165,4.6890,24.82
170,4.6975,28.65
175,4.6987,27.30
180,4.6859,29.64
185,4.6772,28.41
190,4.6745,28.26
195,4.6835,29.34
200,4.6814,30.28
205,4.6771,34.96
210,4.6646,30.74
215,4.6691,33.23
220,4.6654,30.42
225,4.6635,32.77
230,4.6661,31.37
235,4.6582,29.81
240,4.6592,29.10
245,4.6517,27.19
250,4.6508,27.77
255,4.6509,25.32
260,4.6316,23.06
265,4.6381,21.92
270,4.6344,23.10
275,4.6304,24.33
280,4.6308,21.45
285,4.6424,20.45
290,4.6210,20.66
295,4.6332,21.98
300,4.6095,20.35
305,4.6178,19.61
310,4.6192,22.29
315,4.6202,21.86
320,4.6187,24.26
325,4.6169,23.12
330,4.6053,22.00
335,4.6020,22.85
340,4.6101,28.48
345,4.5993,29.69
350,4.5882,27.90
355,4.5870,28.58
360,4.5863,32.23
365,4.5952,29.13
370,4.5900,30.03
375,4.5920,32.74
380,4.5807,31.38
385,4.5831,31.97
390,4.5845,31.53
395,4.5747,31.88
400,4.5785,32.90
405,4.5672,30.18
410,4.5673,30.12
415,4.5648,25.09
420,4.5560,27.03
425,4.5671,24.74
430,4.5572,23.07
435,4.5588,22.52
440,4.5602,22.34
445,4.5577,23.33
450,4.5572,19.22
455,4.5488,20.67
460,4.5440,19.50
465,4.5445,19.53
470,4.5294,21.53
475,4.5290,21.04
480,4.5278,22.64
485,4.5282,20.98
490,4.5371,20.91
495,4.5245,22.51
500,4.5265,24.20
505,4.5377,25.16
510,4.5223,24.37
515,4.5288,27.24
520,4.5133,28.51
525,4.5169,32.93
530,4.5088,32.86
535,4.5115,29.51
540,4.5187,30.94
545,4.4960,29.58
550,4.5111,31.09
555,4.5074,32.45
560,4.4986,33.58
565,4.4896,30.28
570,4.4996,29.81
575,4.4927,26.82
580,4.4966,28.91
585,4.4928,26.57
590,4.5033,26.31
595,4.4865,24.68
600,4.4781,24.76
