time_s,nmc_21700_5ah,lfp_prismatic_100ah,nmc_pouch_power
0.0000,-3.3602,-69.2831,-5.5426
1.0000,-4.0737,-83.9947,-6.7196
2.0000,-3.6104,-74.4411,-5.9553
3.0000,-3.4277,-70.6748,-5.6540
4.0000,-3.7062,-76.4159,-6.1133
5.0000,-3.3891,-69.8782,-5.5903
6.0000,-3.6617,-75.4989,-6.0399
7.0000,-3.3948,-69.9956,-5.5997
8.0000,-3.1142,-64.2111,-5.1369
9.0000,-3.8833,-80.0675,-6.4054
10.0000,-3.5636,-73.4765,-5.8781
11.0000,-3.8060,-78.4748,-6.2780
12.0000,-3.5912,-74.0455,-5.9236
13.0000,-4.0693,-83.9040,-6.7123
14.0000,-3.8482,-79.3448,-6.3476
15.0000,-3.7089,-76.4715,-6.1177
16.0000,-3.3106,-68.2593,-5.4607
17.0000,-3.2209,-66.4108,-5.3129
18.0000,-4.1189,-84.9265,-6.7941
19.0000,-3.9266,-80.9598,-6.4768
20.0000,-3.4022,-70.1482,-5.6119
21.0000,-4.3622,-89.9431,-7.1955
22.0000,-3.8060,-78.4738,-6.2779
23.0000,-3.6729,-75.7297,-6.0584
24.0000,-3.1803,-65.5724,-5.2458
25.0000,-3.3867,-69.8295,-5.5864
26.0000,-3.7565,-77.4541,-6.1963
27.0000,-3.7716,-77.7643,-6.2211
28.0000,-3.7285,-76.8765,-6.1501
29.0000,-3.0833,-63.5735,-5.0859
30.0000,-3.7932,-78.2102,-6.2568
31.0000,-3.7480,-77.2776,-6.1822
32.0000,-3.5092,-72.3556,-5.7884
33.0000,-3.6814,-75.9058,-6.0725
34.0000,-3.7093,-76.4796,-6.1184
35.0000,-4.0427,-83.3555,-6.6684
36.0000,-3.6417,-75.0864,-6.0069
37.0000,-3.7989,-78.3269,-6.2661
38.0000,-3.2133,-66.2540,-5.3003
39.0000,-3.3999,-70.1018,-5.6081
40.0000,-3.6463,-75.1811,-6.0145
41.0000,-3.3944,-69.9871,-5.5990
42.0000,-3.7611,-77.5490,-6.2039
43.0000,-3.2548,-67.1091,-5.3687
44.0000,-3.6395,-75.0405,-6.0032
45.0000,-3.4253,-70.6246,-5.6500
46.0000,-4.1071,-84.6817,-6.7745
47.0000,-3.5114,-72.3999,-5.7920
48.0000,-4.2516,-87.6615,-7.0129
49.0000,-4.3779,-90.2650,-7.2212
50.0000,-3.7483,-77.2836,-6.1827
51.0000,-3.9648,-81.7495,-6.5400
52.0000,-3.5778,-73.7696,-5.9016
53.0000,-2.8210,-58.1643,-4.6531
54.0000,-3.9400,-81.2379,-6.4990
55.0000,-3.8645,-79.6796,-6.3744
56.0000,-3.5628,-73.4595,-5.8768
57.0000,-3.4582,-71.3024,-5.7042
58.0000,-3.7017,-76.3230,-6.1058
59.0000,-3.7124,-76.5445,-6.1236
60.0000,-3.3820,-69.7315,-5.5785
61.0000,-3.4484,-71.1007,-5.6881
62.0000,-4.0135,-82.7526,-6.6202
63.0000,-3.6663,-75.5939,-6.0475
64.0000,-3.6247,-74.7353,-5.9788
65.0000,-4.0211,-82.9086,-6.6327
66.0000,-3.5430,-73.0512,-5.8441
67.0000,-3.9496,-81.4347,-6.5148
68.0000,-3.2839,-67.7095,-5.4168
69.0000,-3.5674,-73.5544,-5.8844
